,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
75,75,286,291,3,0.5258407012064555,0.0035046658093476108,0.5427883602796468,0.0024503221692878693,-2732.9506666666684,49.99550781198635,0.08
76,76,287,292,4,0.5311308195060803,0.0035046658093476108,0.5435556451375474,0.0024503221692878693,-2433.1206666666685,49.99550781198635,0.08
77,77,288,293,5,0.5287670369466151,0.0035046658093476108,0.5469499973955797,0.0024503221692878693,-2358.163166666668,49.99550781198635,0.08
78,78,289,294,6,0.5297489550855814,0.0035046658093476108,0.5438138224510086,0.0024503221692878693,-2283.205666666668,49.99550781198635,0.08
79,79,290,295,7,0.5256673061535498,0.0035046658093476108,0.5526502807112106,0.0024503221692878693,-2208.248166666668,49.99550781198635,0.08
80,80,291,296,8,0.5266160752382841,0.0035046658093476108,0.5515278888116371,0.0024503221692878693,-2133.2906666666686,49.99550781198635,0.08
81,81,292,297,9,0.5263565711036752,0.0035046658093476108,0.5446748664385346,0.0024503221692878693,-2058.333166666668,49.99550781198635,0.08
82,82,293,298,10,0.5253893640834508,0.0035046658093476108,0.5470433035825499,0.0024503221692878693,-1983.3756666666682,49.99550781198635,0.08
83,83,294,299,11,0.526945800446355,0.0035046658093476108,0.5452768272272889,0.0024503221692878693,-1908.4181666666682,49.99550781198635,0.08
84,84,295,300,12,0.5243650779225075,0.0035046658093476108,0.5479505477209058,0.0024503221692878693,-1833.4606666666687,49.99550781198635,0.08
85,85,296,301,13,0.529834475722535,0.0035046658093476108,0.5415010972535822,0.0024503221692878693,-1758.5031666666684,49.99550781198635,0.08
86,86,297,302,14,0.5251869390895608,0.0035046658093476108,0.5436349101022065,0.0024503221692878693,-1683.5456666666678,49.99550781198635,0.08
87,87,298,303,15,0.5231587661856631,0.0035046658093476108,0.5496880357462344,0.0024503221692878693,-1608.5881666666685,49.99550781198635,0.08
88,88,299,304,16,0.5295894865584181,0.0035046658093476108,0.5527929576475971,0.0024503221692878693,-1533.6306666666678,49.99550781198635,0.08
89,89,300,305,17,0.5259884008386253,0.0035046658093476108,0.5500617134367703,0.0024503221692878693,-1458.6731666666683,49.99550781198635,0.08
90,90,301,306,18,0.5257706762812436,0.0035046658093476108,0.5471597098449351,0.0024503221692878693,-1383.715666666668,49.99550781198635,0.08
91,91,302,307,19,0.5288199969740863,0.0035046658093476108,0.5452437624134596,0.0024503221692878693,-1308.7581666666686,49.99550781198635,0.08
92,92,303,308,20,0.5278751508543498,0.0035046658093476108,0.5477616706336894,0.0024503221692878693,-1233.800666666668,49.99550781198635,0.08
93,93,304,309,21,0.5289412165925205,0.0035046658093476108,0.5439297757707385,0.0024503221692878693,-1158.8431666666686,49.99550781198635,0.08
94,94,305,310,22,0.5222870833631369,0.0035046658093476108,0.5449212672429607,0.0024503221692878693,-1083.885666666668,49.99550781198635,0.08
95,95,306,311,23,0.5256012041933357,0.0035046658093476108,0.5431475438052166,0.0024503221692878693,-1008.9281666666684,49.99550781198635,0.08
96,96,307,312,24,0.523045196348975,0.0035046658093476108,0.5392970782934027,0.0024503221692878693,-933.970666666668,49.99550781198635,0.08
97,97,308,313,25,0.5241091044563967,0.0035046658093476108,0.5386928527913724,0.0024503221692878693,-859.0131666666684,49.99550781198635,0.08
98,98,309,314,26,0.5202359611140017,0.0035046658093476108,0.5474464225456735,0.0024503221692878693,-784.0556666666679,49.99550781198635,0.08
99,99,310,315,27,0.515760838792684,0.0035046658093476108,0.544912661332512,0.0024503221692878693,-709.0981666666687,49.99550781198635,0.08
100,100,311,316,28,0.5183144928580461,0.0035046658093476108,0.5311436575572349,0.0024503221692878693,-634.140666666668,49.99550781198635,0.08
101,101,312,317,29,0.5166878354216802,0.0035046658093476108,0.5321496431944234,0.0024503221692878693,-563.5924066806682,49.99550781198635,0.08
102,102,313,318,30,0.5107686696846472,0.0035046658093476108,0.5390357303813551,0.0024503221692878693,-493.0442066606684,49.99550781198635,0.08
103,103,314,319,31,0.5070818671796511,0.0035046658093476108,0.5258587226564181,0.0024503221692878693,-422.49594667466863,49.99550781198635,0.08
104,104,315,320,32,0.4986216008652492,0.0035046658093476108,0.5180676560444065,0.0024503221692878693,-351.94774665466775,49.99550781198635,0.08
105,105,316,321,33,0.4849951819451551,0.0035046658093476108,0.510000747355381,0.0024503221692878693,-281.39948666866803,49.99550781198635,0.08
106,106,317,322,34,0.4551816287026088,0.0035046658093476108,0.4806251514527004,0.0024503221692878693,-210.8512866486681,49.99550781198635,0.08
107,107,318,323,35,0.3916811827268713,0.0035046658093476108,0.41695156004774014,0.0024503221692878693,-140.30302666266834,49.99550781198635,0.08
108,108,319,324,36,0.2089445694199386,0.0035046658093476108,0.2417870399518069,0.0024503221692878693,-69.75478466646837,49.99550781198635,0.08
109,109,320,325,37,0.16814196739571485,0.0035046658093476108,0.1320039768365126,0.0024503221692878693,0.7934513331319977,49.99550781198635,0.08
110,110,321,326,38,0.2511935294092263,0.0035046658093476108,0.20289108767384506,0.0024503221692878693,71.34169332933197,49.99550781198635,0.08
111,111,322,327,39,0.4045585114806224,0.0035046658093476108,0.4123711321528138,0.0024503221692878693,141.8899533153317,49.99550781198635,0.08
112,112,323,328,40,0.4584316090550924,0.0035046658093476108,0.4729219557157966,0.0024503221692878693,212.4381533353317,49.99550781198635,0.08
113,113,324,329,41,0.488270465421875,0.0035046658093476108,0.5064351827736849,0.0024503221692878693,282.9864133213314,49.99550781198635,0.08
114,114,325,330,42,0.5007394135193481,0.0035046658093476108,0.5165004744574313,0.0024503221692878693,353.53461334133226,49.99550781198635,0.08
115,115,326,331,43,0.5064075094965175,0.0035046658093476108,0.5326537683696556,0.0024503221692878693,424.0828733273312,49.99550781198635,0.08
116,116,327,332,44,0.5113837905963129,0.0035046658093476108,0.5321904080333909,0.0024503221692878693,494.631073347332,49.99550781198635,0.08
117,117,328,333,45,0.522082696886748,0.0035046658093476108,0.5324970502109581,0.0024503221692878693,565.1793333333326,49.99550781198635,0.08
118,118,329,334,46,0.5168057205198661,0.0035046658093476108,0.5336090244294621,0.0024503221692878693,640.1368333333312,49.99550781198635,0.08
119,119,330,335,47,0.5209981932130875,0.0035046658093476108,0.5440085877927425,0.0024503221692878693,715.0943333333316,49.99550781198635,0.08
120,120,331,336,48,0.5233753138535455,0.0035046658093476108,0.5337815955810915,0.0024503221692878693,790.0518333333321,49.99550781198635,0.08
121,121,332,337,49,0.5223886881565817,0.0035046658093476108,0.5512552173332095,0.0024503221692878693,865.0093333333325,49.99550781198635,0.08
